No Terminal,Terminal,Produccion
documento,DOCUMENTCLASS,clasedocumento iniciodocumento contenidodocumento findocumento
clasedocumento,DOCUMENTCLASS,DOCUMENTCLASS LEFT_BRACKET NUMBER metrics RIGHT_BRACKET LEFT_KEY document_type RIGHT_KEY
metrics,POINT,POINT
metrics,CENTIMETER,CENTIMETER
iniciodocumento,INICIO,INICIO LEFT_KEY DOCUMENT RIGHT_KEY
findocumento,FIN,FIN LEFT_KEY DOCUMENT RIGHT_KEY
contenidodocumento,INICIOI,elemento contenidodocumento
contenidodocumento,SUBSECCION,elemento contenidodocumento
contenidodocumento,INICIOE,elemento contenidodocumento
contenidodocumento,TITULOPAGINA,elemento contenidodocumento
contenidodocumento,NEWPAGE,elemento contenidodocumento
contenidodocumento,CHAPTER,elemento contenidodocumento
contenidodocumento,SECCION,elemento contenidodocumento
contenidodocumento,TEXTO,elemento contenidodocumento
contenidodocumento,SUBSUBSECCION,elemento contenidodocumento
contenidodocumento,COMMENT,elemento contenidodocumento
contenidodocumento,'',''
elemento,COMMENT,comentario
elemento,TITULOPAGINA,titulo
elemento,SECCION,seccion
elemento,SUBSECCION,subseccion
elemento,SUBSUBSECCION,subsubseccion
elemento,INICIOI,lista
elemento,INICIOE,lista
elemento,NEWPAGE,NEWPAGE
elemento,TEXTO,texto
elemento,CHAPTER,chapter
contenidodocumentoseccion,INICIOI,elementos contenidodocumentoseccion
contenidodocumentoseccion,SUBSECCION,elementos contenidodocumentoseccion
contenidodocumentoseccion,INICIOE,elementos contenidodocumentoseccion
contenidodocumentoseccion,TITULOPAGINA,elementos contenidodocumentoseccion
contenidodocumentoseccion,NEWPAGE,elementos contenidodocumentoseccion
contenidodocumentoseccion,CHAPTER,elementos contenidodocumentoseccion
contenidodocumentoseccion,TEXTO,elementos contenidodocumentoseccion
contenidodocumentoseccion,COMMENT,elementos contenidodocumentoseccion
contenidodocumentoseccion,'',''
elementos,COMMENT,comentario
elementos,TITULOPAGINA,titulo
elementos,SUBSECCION,subseccion
elementos,INICIOI,lista
elementos,INICIOE,lista
elementos,NEWPAGE,NEWPAGE
elementos,TEXTO,texto
elementos,CHAPTER,chapter
contenidodocumentosubseccion,INICIOI,elementoss contenidodocumentosubseccion
contenidodocumentosubseccion,INICIOE,elementoss contenidodocumentosubseccion
contenidodocumentosubseccion,TITULOPAGINA,elementoss contenidodocumentosubseccion
contenidodocumentosubseccion,NEWPAGE,elementoss contenidodocumentosubseccion
contenidodocumentosubseccion,CHAPTER,elementoss contenidodocumentosubseccion
contenidodocumentosubseccion,TEXTO,elementoss contenidodocumentosubseccion
contenidodocumentosubseccion,SUBSUBSECCION,elementoss contenidodocumentosubseccion
contenidodocumentosubseccion,COMMENT,elementoss contenidodocumentosubseccion
contenidodocumentosubseccion,'',''
elementoss,COMMENT,comentario
elementoss,TITULOPAGINA,titulo
elementoss,SUBSUBSECCION,subsubseccion
elementoss,INICIOI,lista
elementoss,INICIOE,lista
elementoss,NEWPAGE,NEWPAGE
elementoss,TEXTO,texto
elementoss,CHAPTER,chapter
contenidodocumentosubsubseccion,INICIOI,elementosss contenidodocumentosubsubseccion
contenidodocumentosubsubseccion,TEXTO,elementosss contenidodocumentosubsubseccion
contenidodocumentosubsubseccion,INICIOE,elementosss contenidodocumentosubsubseccion
contenidodocumentosubsubseccion,TITULOPAGINA,elementosss contenidodocumentosubsubseccion
contenidodocumentosubsubseccion,NEWPAGE,elementosss contenidodocumentosubsubseccion
contenidodocumentosubsubseccion,CHAPTER,elementosss contenidodocumentosubsubseccion
contenidodocumentosubsubseccion,COMMENT,elementosss contenidodocumentosubsubseccion
contenidodocumentosubsubseccion,'',''
elementosss,COMMENT,comentario
elementosss,TITULOPAGINA,titulo
elementosss,INICIOI,lista
elementosss,INICIOE,lista
elementosss,NEWPAGE,NEWPAGE
elementosss,TEXTO,texto
elementosss,CHAPTER,chapter
comentario,COMMENT,COMMENT LEFT_KEY CONTENT RIGHT_KEY
titulo,TITULOPAGINA,TITULOPAGINA LEFT_BRACKET styles RIGHT_BRACKET LEFT_KEY CONTENT RIGHT_KEY
styles,NEGRITA,NEGRITA
styles,CURSIVA,CURSIVA
texto,TEXTO,TEXTO LEFT_KEY CONTENT RIGHT_KEY
seccion,SECCION,SECCION LEFT_BRACKET CONTENT RIGHT_BRACKET LEFT_KEY contenidodocumentoseccion RIGHT_KEY
subseccion,SUBSECCION,SUBSECCION LEFT_BRACKET CONTENT RIGHT_BRACKET LEFT_KEY contenidodocumentosubseccion RIGHT_KEY
subsubseccion,SUBSUBSECCION,SUBSUBSECCION LEFT_BRACKET CONTENT RIGHT_BRACKET LEFT_KEY contenidodocumentosubsubseccion RIGHT_KEY
lista,INICIOE,enumerar
lista,INICIOI,itemizar
enumerar,INICIOE,INICIOE LEFT_BRACKET ENUMERAR RIGHT_BRACKET LEFT_KEY items RIGHT_KEY
itemizar,INICIOI,INICIOI LEFT_BRACKET ITEMIZAR RIGHT_BRACKET LEFT_KEY items RIGHT_KEY
items,ITEM,item items
items,'',''
item,ITEM,ITEM LEFT_KEY CONTENT RIGHT_KEY
chapter,CHAPTER,CHAPTER LEFT_BRACKET CONTENT RIGHT_BRACKET LEFT_KEY contenidodocumento RIGHT_KEY
document_type,ARTICLE,ARTICLE
document_type,BOOK,BOOK
